,team1,team2,date,score,winner,elo1,elo2
11334,excellency,honoris,2020-09-26 19:00:00+00:00,1 - 0,excellency,1361.3958365539443,1283.5572187001824
11335,bren,beyond,2020-09-27 05:00:00+00:00,0 - 2,beyond,1458.5543493124603,1389.3067059576153
11336,izako boars,gaminate,2020-09-27 13:00:00+00:00,2 - 0,izako boars,1385.8481857087538,1381.983125697177
11337,pact,excellency,2020-09-27 10:00:00+00:00,1 - 2,excellency,1441.9509714984263,1361.3958365539443
11338,agf,lyngby vikings,2020-09-27 14:00:00+00:00,2 - 0,agf,1502.661544795462,1302.3160637150897
11339,lyngby vikings,copenhagen flames,2020-09-27 10:00:00+00:00,2 - 1,lyngby vikings,1302.3160637150897,1482.1540327423145
11340,agf,masonic,2020-09-27 10:00:00+00:00,2 - 0,agf,1502.661544795462,1400.0
11341,lowlandlions,apologis,2020-09-27 11:00:00+00:00,2 - 0,lowlandlions,1479.7439278615357,1351.6115695733836
11342,atk,dnmk,2020-09-27 11:30:00+00:00,3 - 0,atk,1477.0921542308358,1400.0
11343,tiger,vici,2020-09-27 11:00:00+00:00,2 - 1,tiger,1541.4923402033505,1695.6919972472087
11344,tyloo,checkmate,2020-09-27 08:00:00+00:00,2 - 1,tyloo,1834.8398031405272,1408.122419629303
11345,enterprise,eeriness,2020-09-27 13:00:00+00:00,2 - 0,enterprise,1362.983124386212,1296.8286660678818
11346,dark tigers,sampi,2020-09-27 11:00:00+00:00,0 - 2,sampi,1375.6535462250822,1422.3188860275989
11347,sawo,fcottond,2020-09-27 14:00:00+00:00,0 - 2,fcottond,1436.4621743815783,1414.4205796612353
11348,ubiteam,apologis,2020-09-27 14:30:00+00:00,2 - 0,ubiteam,1426.2606824070895,1351.6115695733836
11349,movistar riders,wygers,2020-09-27 16:00:00+00:00,1 - 0,movistar riders,1441.2087887806167,1371.3466438744947
11350,fate,ethereal,2020-09-27 14:00:00+00:00,1 - 2,ethereal,1420.5177791338256,1416.205109822024
11351,skade,hercegnovi,2020-09-27 14:00:00+00:00,1 - 2,hercegnovi,1479.025581124886,1460.3064930171472
11352,excellency,izako boars,2020-09-27 16:00:00+00:00,0 - 2,izako boars,1361.3958365539443,1385.8481857087538
11353,queso,giants,2020-09-27 17:15:00+00:00,1 - 0,queso,1394.977039225697,1462.1195861923748
11354,furia,100 thieves,2020-09-27 17:00:00+00:00,3 - 0,furia,1706.728326805922,1585.2584107445573
11355,thedice,lowlandlions,2020-09-27 18:00:00+00:00,0 - 2,lowlandlions,1525.0993354498025,1479.7439278615357
11356,havu,kova,2020-09-27 17:00:00+00:00,2 - 1,havu,1653.437352200331,1477.6716121576737
11357,brute,entropiq,2020-09-27 17:00:00+00:00,2 - 0,brute,1202.9785222692183,1429.4635422225565
11358,ethereal,hercegnovi,2020-09-27 17:50:00+00:00,1 - 2,hercegnovi,1416.205109822024,1460.3064930171472
11359,movistar riders,queso,2020-09-27 18:30:00+00:00,2 - 0,movistar riders,1441.2087887806167,1394.977039225697
11360,isurus,new pampas,2020-09-28 02:40:00+00:00,1 - 0,isurus,1480.2156188515821,1356.5012030261873
11361,malvinas,coscu army,2020-09-28 01:30:00+00:00,1 - 0,malvinas,1420.8110126685242,1385.7946957565432
11362,furious,real betis sa,2020-09-28 00:20:00+00:00,1 - 0,furious,1367.338859151452,1305.9128154388695
11363,meta,undead,2020-09-27 23:10:00+00:00,1 - 0,meta,1388.3892368780603,1393.2854503146737
11364,wygers ar,9z,2020-09-27 22:00:00+00:00,0 - 1,9z,1321.798678011029,1488.5359306782568
11365,vici,huat zai,2020-09-28 05:00:00+00:00,2 - 0,vici,1695.6919972472087,1318.6867056908368
11366,chiefs,avant,2020-09-28 04:30:00+00:00,0 - 2,avant,1673.2458748796066,1707.6684624158513
11367,sharks,boom,2020-09-27 20:30:00+00:00,1 - 3,boom,1547.9408892609147,1664.2135840474857
11368,wings up,let's quit,2020-09-28 08:00:00+00:00,2 - 1,wings up,1400.0,1288.0411550524786
11369,beyond,invictus,2020-09-28 08:00:00+00:00,2 - 1,beyond,1389.3067059576153,1550.3534692907278
11370,avez,pompa,2020-09-28 16:30:00+00:00,1 - 0,avez,1551.0972222098358,1379.0414402263136
11371,heretics,alltech,2020-09-28 17:00:00+00:00,1 - 0,heretics,1612.5209762366583,1338.7169051113633
11372,apologis,ldlc,2020-09-28 17:00:00+00:00,1 - 0,apologis,1351.6115695733836,1555.5048480722157
11373,pompa,avez,2020-09-28 17:30:00+00:00,0 - 1,avez,1379.0414402263136,1551.0972222098358
11374,zerozone,wygers,2020-09-24 17:00:00+00:00,1 - 2,wygers,1470.7772818953267,1371.3466438744947
11375,zerozone,rhyno,2020-09-21 17:00:00+00:00,1 - 0,zerozone,1464.5958882935859,1376.619492374569
11376,zerozone,heretics,2020-09-14 16:00:00+00:00,0 - 1,heretics,1478.6208078297416,1558.1855477804754
11377,zerozone,queso,2020-09-03 18:00:00+00:00,2 - 1,zerozone,1400.0,1328.583617028306
11378,zerozone,qlash,2020-09-03 15:00:00+00:00,1 - 0,zerozone,1400.0,1400.0
11379,ftw,zerozone,2020-09-07 18:00:00+00:00,0 - 1,zerozone,1341.4004999528734,1400.0
11380,ftw,zerozone,2020-09-03 14:00:00+00:00,0 - 1,zerozone,1341.4004999528734,1400.0
11381,alltech,heretics,2020-09-28 18:00:00+00:00,0 - 1,heretics,1338.7169051113633,1612.5209762366583
11382,umx,vexed,2020-09-28 18:00:00+00:00,0 - 1,vexed,1420.6160132356254,1406.3301657705285
11383,wygers,zerozone,2020-09-28 16:00:00+00:00,2 - 1,wygers,1371.3466438744947,1470.7772818953267
11384,ldlc,apologis,2020-09-28 18:00:00+00:00,1 - 0,ldlc,1555.5048480722157,1351.6115695733836
11385,gaminate,izako boars,2020-09-28 18:30:00+00:00,0 - 1,izako boars,1381.983125697177,1385.8481857087538
11386,offset,saw,2020-09-28 18:00:00+00:00,0 - 2,saw,1310.5924185633191,1601.2799668157047
11387,ubiteam,exalty,2020-09-28 19:00:00+00:00,1 - 0,ubiteam,1426.2606824070895,1331.8088197079553
11388,cex,brunolopes,2020-09-28 19:00:00+00:00,1 - 0,cex,1458.742121927997,1348.0192379762802
11389,izako boars,gaminate,2020-09-28 19:30:00+00:00,1 - 0,izako boars,1385.8481857087538,1381.983125697177
11390,thedice,warthox,2020-09-28 19:00:00+00:00,0 - 1,warthox,1525.0993354498025,1262.0542820790051
11391,endpoint,radix,2020-09-28 20:00:00+00:00,1 - 0,endpoint,1506.3276266402875,1420.2071036375576
11392,rugratz,triumph,2020-09-28 19:00:00+00:00,0 - 2,triumph,1484.7035659855933,1472.3804919017819
11393,exalty,ubiteam,2020-09-28 20:00:00+00:00,0 - 1,ubiteam,1331.8088197079553,1426.2606824070895
11394,qlash,baecon,2020-09-28 20:00:00+00:00,0 - 2,baecon,1291.9254742297524,1361.5561840076807
11395,kpi,exploit,2020-09-28 18:30:00+00:00,2 - 1,kpi,1380.7027851831656,1401.7184074001043
11396,warthox,thedice,2020-09-28 20:00:00+00:00,0 - 1,thedice,1262.0542820790051,1525.0993354498025
11397,dame time,nopurplesattob,2020-09-28 21:00:00+00:00,0 - 1,nopurplesattob,1380.2001337508177,1431.4867051532367
11398,nlg,big academy,2020-09-28 19:30:00+00:00,0 - 2,big academy,1291.9922388352718,1336.6625520961973
11399,isurus,imperial,2020-09-28 19:00:00+00:00,2 - 1,isurus,1480.2156188515821,1373.2118587446703
11400,pain,new england whalers,2020-09-28 22:00:00+00:00,2 - 0,pain,1504.5125179796166,1532.771855985819
11401,9z,isurus,2020-09-29 01:30:00+00:00,1 - 0,9z,1488.5359306782568,1480.2156188515821
11402,sharks,red canids,2020-09-29 01:30:00+00:00,2 - 0,sharks,1547.9408892609147,1556.558339428485
11403,boom,keyd,2020-09-28 22:30:00+00:00,2 - 0,boom,1664.2135840474857,1298.6577252494862
11404,renegades,order,2020-09-29 04:30:00+00:00,2 - 0,renegades,1892.1813833516096,1747.8768450124576
11405,invictus,d13,2020-09-29 05:00:00+00:00,2 - 1,invictus,1550.3534692907278,1493.4172528931617
11406,lese,chiefs,2020-09-29 09:05:00+00:00,0 - 1,chiefs,1382.3252639014586,1673.2458748796066
11407,rooster 2,lakers,2020-09-29 10:05:00+00:00,1 - 0,rooster 2,1346.649096463986,1308.582199373183
11408,forbidden,paradox,2020-09-29 10:05:00+00:00,0 - 1,paradox,1216.669744436165,1567.990296748872
11409,lakers,paradox,2020-09-29 11:05:00+00:00,0 - 1,paradox,1308.582199373183,1567.990296748872
11410,tyloo,vici,2020-09-29 08:00:00+00:00,2 - 1,tyloo,1834.8398031405272,1695.6919972472087
11411,ex-blessed,rooster 2,2020-09-29 11:05:00+00:00,1 - 0,ex-blessed,1384.8946316854763,1346.649096463986
