,team1,team2,date,score,winner,elo1,elo2
0,x6tence,movistar riders,2020-05-01 20:30:00+00:00,0 - 1,movistar riders,1362.6160305373346,1496.5224856213588
1,queso,giants,2020-05-01 19:00:00+00:00,1 - 0,queso,1400.0,1433.2949917319584
2,offset,cream,2020-05-01 17:45:00+00:00,0 - 1,cream,1299.9773312045563,1369.0794630079888
3,wizards,s2v,2020-05-01 16:30:00+00:00,0 - 1,s2v,1400.0,1367.0636135571594
4,endpoint,vexed,2020-05-01 18:00:00+00:00,2 - 0,endpoint,1506.9235845902613,1411.822344054101
5,vexed,nerdrage,2020-05-01 14:00:00+00:00,2 - 1,vexed,1411.822344054101,1361.6661968031403
6,alternate attax,fate,2020-04-30 17:00:00+00:00,1 - 0,alternate attax,1436.419602330135,1485.2770293450897
7,alternate attax,demolition crew,2020-04-30 16:00:00+00:00,1 - 0,alternate attax,1436.419602330135,1323.092150456867
8,unicorns of love,pact,2020-04-30 15:00:00+00:00,1 - 0,unicorns of love,1335.755513636071,1319.9664730976103
9,overt,avant,2020-04-30 11:10:00+00:00,0 - 1,avant,1420.0,1675.3402916069247
10,pc419,twa,2020-04-30 11:10:00+00:00,0 - 1,twa,1282.2932083697701,1400.0
11,paradox,fury,2020-04-30 11:10:00+00:00,1 - 0,paradox,1423.277275796772,1348.0873095478294
12,ground zero,rooster,2020-04-30 10:10:00+00:00,0 - 1,rooster,1463.250096321726,1484.996527690948
13,fury,incept,2020-04-30 10:10:00+00:00,0 - 1,incept,1348.0873095478294,1339.5093739249958
14,twa,esea open,2020-04-30 10:10:00+00:00,0 - 1,esea open,1400.0,1400.0
15,avant,ground zero,2020-04-30 09:10:00+00:00,1 - 0,avant,1675.3402916069247,1463.250096321726
16,aa,keep the comms up,2020-05-01 01:00:00+00:00,3 - 1,aa,1469.39910996241,1444.3222560107517
17,teamone,"blood, sweat, and tears",2020-05-01 02:00:00+00:00,1 - 0,teamone,1499.9191086657581,1434.9714602475767
18,morning light,way 2 french,2020-05-01 02:00:00+00:00,0 - 1,way 2 french,1400.0,1400.0
19,under 21,big frames,2020-05-01 01:00:00+00:00,0 - 1,big frames,1530.8994320366273,1266.011497258383
20,warriors,polar ace,2020-05-01 01:00:00+00:00,0 - 1,polar ace,1396.4230025478018,1438.5668511224435
21,buffdaddy's paypal,polar ace,2020-04-30 02:00:00+00:00,0 - 1,polar ace,1506.766454199655,1438.5668511224435
22,recon 5,infinity,2020-04-30 02:00:00+00:00,1 - 0,recon 5,1467.6901479357168,1278.0219321652332
23,rugratz,polar ace,2020-04-30 00:00:00+00:00,1 - 0,rugratz,1450.270059412609,1438.5668511224435
24,mythic,buffdaddy's paypal,2020-04-29 23:00:00+00:00,1 - 0,mythic,1346.3389564165423,1506.766454199655
25,pc419,bantz,2020-04-29 11:10:00+00:00,0 - 1,bantz,1296.5057759491629,1400.0
26,overt,forbidden,2020-04-29 11:10:00+00:00,1 - 0,overt,1400.0,1400.0
27,bantz,order,2020-04-29 09:10:00+00:00,0 - 1,order,1400.0,1671.9966830157973
28,order,chiefs,2020-04-29 08:10:00+00:00,1 - 0,order,1671.9966830157973,1557.1160910182393
29,hard legion,plmix,2020-04-28 07:00:00+00:00,2 - 0,hard legion,1403.4796390520175,1400.0
30,cyber legacy,fate,2020-04-28 07:00:00+00:00,2 - 1,cyber legacy,1365.0238942031206,1456.2337854050452
31,cr4zy,100pinggods,2020-04-28 07:00:00+00:00,1 - 2,100pinggods,1496.1089703125733,1366.7985821195741
32,1win,sinners,2020-04-28 07:00:00+00:00,0 - 2,sinners,1338.4719059966317,1403.6380523202463
33,thunder logic,keep the comms up,2020-04-29 01:00:00+00:00,0 - 2,keep the comms up,1273.6638936557963,1446.3301293236623
34,endpoint,skade,2020-04-29 17:00:00+00:00,0 - 1,skade,1506.9235845902613,1533.1529880083322
35,nemiga,demolition crew,2020-04-29 16:00:00+00:00,1 - 0,nemiga,1524.7362245140257,1323.092150456867
36,rooster,really weird,2020-04-28 10:00:00+00:00,0 - 1,really weird,1510.747019205557,1407.9527636868395
37,chiefs,mako,2020-04-28 10:00:00+00:00,1 - 0,chiefs,1557.1160910182393,1429.1590459511795
38,sinners,100pinggods,2020-04-28 10:00:00+00:00,2 - 0,sinners,1403.6380523202463,1366.7985821195741
39,hard legion,cyber legacy,2020-04-28 10:00:00+00:00,2 - 1,hard legion,1403.4796390520175,1365.0238942031206
40,thunder logic,aa,2020-04-28 01:00:00+00:00,0 - 2,aa,1273.6638936557963,1386.56375107144
41,keep the comms up,ethereal,2020-04-28 22:00:00+00:00,2 - 0,keep the comms up,1446.3301293236623,1433.2889853315107
42,avez,cyberwolves,2020-04-30 17:00:00+00:00,1 - 0,avez,1466.5166040453255,1349.4434650136902
43,illuminar,cleantmix,2020-04-29 19:00:00+00:00,1 - 0,illuminar,1293.1729471482788,1329.3935535910246
44,cleantmix,illuminar,2020-04-29 18:00:00+00:00,0 - 1,illuminar,1329.3935535910246,1293.1729471482788
45,wisla krakow,ago,2020-04-29 17:00:00+00:00,0 - 1,ago,1346.1389380093283,1511.2754505293728
46,ago,wisla krakow,2020-04-29 16:00:00+00:00,0 - 1,wisla krakow,1511.2754505293728,1346.1389380093283
47,pact,izako boars,2020-04-28 19:30:00+00:00,1 - 0,pact,1329.6056775521347,1242.4387327047275
48,izako boars,pact,2020-04-28 18:30:00+00:00,1 - 0,izako boars,1242.4387327047275,1329.6056775521347
49,cyberwolves,cleantmix,2020-04-28 17:30:00+00:00,0 - 1,cleantmix,1400.0,1278.8370186047148
50,cleantmix,cyberwolves,2020-04-28 16:30:00+00:00,1 - 0,cleantmix,1278.8370186047148,1400.0
51,monstars,infinity,2020-04-29 02:00:00+00:00,0 - 1,infinity,1314.5187796887722,1254.60691008461
52,keep the comms up,district 7,2020-04-30 01:00:00+00:00,1 - 0,keep the comms up,1444.3222560107517,1336.5230337400387
53,warriors,rugratz,2020-04-29 01:00:00+00:00,1 - 0,warriors,1400.0,1474.493737888361
54,mythic,new england whalers,2020-04-29 00:00:00+00:00,0 - 1,new england whalers,1368.370998251703,1332.948590322
55,big frames,aa,2020-04-28 23:00:00+00:00,0 - 1,aa,1279.3463253252025,1386.56375107144
56,endpoint,unicorns of love,2020-04-28 16:00:00+00:00,1 - 0,endpoint,1476.6988836982994,1348.7036890859279
57,wisla krakow,nemiga,2020-04-28 15:00:00+00:00,0 - 1,nemiga,1358.6143691679797,1496.0803534274107
58,illuminar,pact,2020-04-27 18:30:00+00:00,0 - 1,pact,1323.3330034292394,1329.6056775521347
59,avez,ago,2020-04-27 17:30:00+00:00,0 - 1,ago,1508.4486721340802,1469.3433824406181
60,ago,avez,2020-04-27 16:30:00+00:00,1 - 0,ago,1469.3433824406181,1508.4486721340802
61,gtz bulls,offset,2020-04-29 21:00:00+00:00,0 - 1,offset,1400.0,1299.9773312045563
62,gtz bulls,offset,2020-04-29 20:00:00+00:00,0 - 1,offset,1400.0,1299.9773312045563
63,ftw,giants,2020-04-29 19:00:00+00:00,0 - 1,giants,1363.9969591068614,1433.2949917319584
64,ftw,giants,2020-04-29 18:00:00+00:00,1 - 0,ftw,1363.9969591068614,1433.2949917319584
65,baecon,saw,2020-04-27 19:00:00+00:00,0 - 1,saw,1400.4272424181568,1433.7034977701187
66,baecon,saw,2020-04-27 18:00:00+00:00,0 - 1,saw,1400.4272424181568,1433.7034977701187
67,galactics esc,exploit,2020-04-27 21:00:00+00:00,1 - 0,galactics esc,1400.0,1362.793696088538
68,galactics esc,exploit,2020-04-27 20:00:00+00:00,0 - 1,exploit,1400.0,1362.793696088538
69,bren,lynn vision,2020-04-24 08:00:00+00:00,0 - 2,lynn vision,1321.4440922145197,1586.1269206797474
70,bren,zigma,2020-04-24 05:00:00+00:00,0 - 2,zigma,1321.4440922145197,1475.1447947106797
71,aa,ethereal,2020-04-27 04:00:00+00:00,2 - 1,aa,1386.56375107144,1433.2889853315107
72,keep the comms up,thunder logic,2020-04-27 00:00:00+00:00,1 - 2,thunder logic,1446.3301293236623,1273.6638936557963
73,fate,salamander,2020-04-24 11:50:00+00:00,1 - 0,fate,1456.2337854050452,1479.4921401977513
74,salamander,100pinggods,2020-04-24 08:30:00+00:00,2 - 1,salamander,1479.4921401977513,1366.7985821195741
75,plmix,fate,2020-04-24 08:30:00+00:00,0 - 2,fate,1400.0,1456.2337854050452
76,imperial,isurus,2020-04-25 16:30:00+00:00,1 - 2,isurus,1381.0721453033111,1452.290669644425
77,boom,isurus,2020-04-26 20:00:00+00:00,2 - 0,boom,1493.6313298227276,1452.290669644425
78,bren,r-stars,2020-04-23 05:00:00+00:00,2 - 0,bren,1321.4440922145197,1357.9001087467745
79,giants,x6tence,2020-04-30 17:00:00+00:00,0 - 2,x6tence,1433.2949917319584,1362.6160305373346
80,s2v,wygers,2020-04-27 17:00:00+00:00,1 - 2,wygers,1386.2744708438006,1399.9904047902075
81,detona pound,terro,2020-04-24 00:00:00+00:00,2 - 1,detona pound,1400.0,1400.0
82,wygers,salamander,2020-04-24 07:00:00+00:00,0 - 1,salamander,1399.9904047902075,1479.4921401977513
83,100pinggods,sigma,2020-04-24 07:00:00+00:00,1 - 0,100pinggods,1366.7985821195741,1380.894624506769
84,fate,navi junior,2020-04-24 07:00:00+00:00,1 - 0,fate,1456.2337854050452,1391.7433996992506
85,plmix,pact,2020-04-24 07:00:00+00:00,1 - 0,plmix,1400.0,1329.6056775521347
86,onethree,invictus,2020-04-24 06:00:00+00:00,1 - 2,invictus,1550.2117586790805,1526.1227899929922
87,invictus,lynn vision,2020-04-23 09:00:00+00:00,2 - 0,invictus,1526.1227899929922,1586.1269206797474
88,lynn vision,onethree,2020-04-23 06:00:00+00:00,1 - 2,onethree,1586.1269206797474,1550.2117586790805
89,zero.tsg,invictus,2020-04-22 06:00:00+00:00,0 - 2,invictus,1427.8797626247624,1535.0800131520587
90,invictus,onethree,2020-04-21 09:00:00+00:00,0 - 2,onethree,1535.0800131520587,1527.0811038525153
91,lynn vision,zero.tsg,2020-04-21 06:00:00+00:00,2 - 0,lynn vision,1522.3369538515046,1427.8797626247624
92,let's quit,zero.tsg,2020-05-02 06:00:00+00:00,0 - 2,zero.tsg,1329.4572470568385,1392.5247404791342
93,lynn vision,invictus,2020-05-01 06:00:00+00:00,1 - 2,invictus,1548.2672656621141,1570.127222632914
94,lynn vision,aster,2020-04-30 06:00:00+00:00,2 - 0,lynn vision,1548.2672656621141,1343.1113719076477
95,apeks,kova,2020-05-02 14:00:00+00:00,2 - 0,apeks,1401.1935511964784,1491.6383117420235
96,heroic,kova,2020-05-01 17:30:00+00:00,1 - 0,heroic,1486.2896972245906,1491.6383117420235
97,north,nordavind,2020-05-01 16:00:00+00:00,1 - 0,north,1579.4902760572072,1478.3119460211644
98,north,kova,2020-05-01 14:30:00+00:00,0 - 1,kova,1579.4902760572072,1491.6383117420235
99,heroic,nordavind,2020-05-01 13:00:00+00:00,1 - 0,heroic,1486.2896972245906,1478.3119460211644
100,north,heroic,2020-05-01 11:30:00+00:00,0 - 1,heroic,1579.4902760572072,1486.2896972245906
101,nordavind,kova,2020-05-01 10:00:00+00:00,0 - 1,kova,1478.3119460211644,1491.6383117420235
102,ence,apeks,2020-04-30 17:30:00+00:00,1 - 0,ence,1459.7364795058559,1401.1935511964784
103,godsent,dignitas,2020-04-30 16:00:00+00:00,0 - 1,dignitas,1588.042971130646,1507.7310795339063
104,godsent,apeks,2020-04-30 14:30:00+00:00,0 - 1,apeks,1588.042971130646,1401.1935511964784
105,ence,dignitas,2020-04-30 13:00:00+00:00,1 - 0,ence,1459.7364795058559,1507.7310795339063
106,godsent,ence,2020-04-30 11:30:00+00:00,0 - 1,ence,1588.042971130646,1459.7364795058559
107,dignitas,apeks,2020-04-30 10:00:00+00:00,1 - 0,dignitas,1507.7310795339063,1401.1935511964784
108,neverest,noorg,2020-04-20 01:30:00+00:00,1 - 2,noorg,1371.5732573983746,1381.8633506432923
109,btrg,bren,2020-04-19 08:15:00+00:00,2 - 0,btrg,1354.8511092171266,1375.909542071251
110,lynn vision,hz,2020-04-19 05:00:00+00:00,2 - 0,lynn vision,1522.3369538515046,1413.7413988059393
111,hz,bren,2020-04-18 08:00:00+00:00,2 - 1,hz,1413.7413988059393,1375.909542071251
112,hz,r-stars,2020-04-18 05:00:00+00:00,2 - 0,hz,1413.7413988059393,1416.0407509118195
113,btrg,r-stars,2020-04-17 08:00:00+00:00,2 - 0,btrg,1354.8511092171266,1416.0407509118195
114,btrg,lynn vision,2020-04-17 05:00:00+00:00,0 - 2,lynn vision,1354.8511092171266,1522.3369538515046
115,neverest,asterius,2020-04-19 22:00:00+00:00,2 - 1,neverest,1371.5732573983746,1459.294548616645
116,smash,syman,2020-04-19 15:50:00+00:00,2 - 0,smash,1375.129560472581,1482.731452074028
117,neverest,sws,2020-04-19 17:00:00+00:00,2 - 1,neverest,1371.5732573983746,1378.718444264484
118,gambit youngsters,unique,2020-05-02 13:00:00+00:00,2 - 0,gambit youngsters,1550.6337725017263,1415.5803987674697
119,forze,spirit,2020-05-02 13:00:00+00:00,0 - 2,spirit,1615.0911466347688,1626.9637894932177
120,syman,hard legion,2020-05-01 13:00:00+00:00,1 - 2,hard legion,1461.5063224140722,1425.1979803626805
121,pro100,virtus.pro,2020-05-01 13:00:00+00:00,2 - 0,pro100,1462.1462948445544,1484.9463079567558
122,natus vincere,espada,2020-05-01 13:00:00+00:00,2 - 0,natus vincere,1760.1884945174634,1537.4430519941363
123,unique,winstrike,2020-04-30 13:00:00+00:00,0 - 2,winstrike,1415.5803987674697,1543.839007138357
124,forze,nemiga,2020-04-30 13:00:00+00:00,0 - 2,nemiga,1615.0911466347688,1524.7362245140257
125,gambit youngsters,spirit,2020-04-30 13:00:00+00:00,0 - 2,spirit,1550.6337725017263,1626.9637894932177
126,red canids,imperial,2020-04-24 16:30:00+00:00,0 - 2,imperial,1533.3933563632916,1381.0721453033111
127,isurus,boom,2020-04-24 16:30:00+00:00,0 - 2,boom,1452.290669644425,1493.6313298227276
128,boom,imperial,2020-04-23 16:30:00+00:00,2 - 0,boom,1493.6313298227276,1381.0721453033111
129,red canids,isurus,2020-04-23 16:30:00+00:00,1 - 2,isurus,1533.3933563632916,1452.290669644425
130,isurus,imperial,2020-04-22 16:30:00+00:00,2 - 1,isurus,1452.290669644425,1381.0721453033111
131,boom,red canids,2020-04-22 16:30:00+00:00,2 - 1,boom,1493.6313298227276,1533.3933563632916
132,mibr,envy,2020-05-01 20:00:00+00:00,2 - 1,mibr,1579.0817918306736,1427.2052822489431
133,yeah,bad news bears,2020-05-01 20:55:00+00:00,0 - 2,bad news bears,1420.2179211828343,1544.5147598473636
134,liquid,furia,2020-05-01 20:00:00+00:00,0 - 2,furia,1713.466962686323,1577.8113033375182
135,triumph,evil geniuses,2020-04-30 20:00:00+00:00,0 - 2,evil geniuses,1506.865655405619,1534.4537423487163
136,gen.g,cloud9,2020-04-30 20:00:00+00:00,1 - 2,cloud9,1547.8664616689734,1581.4800425608128
137,furia,yeah,2020-04-29 20:00:00+00:00,2 - 1,furia,1577.8113033375182,1420.2179211828343
138,bad news bears,mibr,2020-04-29 20:15:00+00:00,0 - 2,mibr,1544.5147598473636,1579.0817918306736
139,liquid,envy,2020-04-29 20:00:00+00:00,0 - 2,envy,1713.466962686323,1427.2052822489431
140,100 thieves,triumph,2020-04-28 20:00:00+00:00,2 - 0,100 thieves,1545.5728673234591,1517.8701266753308
141,cloud9,evil geniuses,2020-04-28 20:00:00+00:00,2 - 1,cloud9,1576.7513763052157,1555.1079110831377
142,bad news bears,furia,2020-04-25 20:00:00+00:00,0 - 2,furia,1578.7054794368867,1542.6076744477493
143,envy,yeah,2020-04-25 20:00:00+00:00,2 - 0,envy,1418.229726338419,1454.9977751194153
144,liquid,mibr,2020-04-25 20:00:00+00:00,2 - 0,liquid,1687.31150767335,1580.4458581178358
145,orgless,cloud9,2020-04-24 20:00:00+00:00,1 - 2,cloud9,1469.8292998955226,1576.7513763052157
146,gen.g,triumph,2020-04-24 20:00:00+00:00,2 - 1,gen.g,1504.8800040763383,1517.8701266753308
147,evil geniuses,100 thieves,2020-04-24 20:00:00+00:00,1 - 2,100 thieves,1555.1079110831377,1545.5728673234591
148,yeah,mibr,2020-04-23 20:00:00+00:00,0 - 2,mibr,1454.9977751194153,1580.4458581178358
149,furia,envy,2020-04-23 20:00:00+00:00,2 - 1,furia,1542.6076744477493,1418.229726338419
150,liquid,bad news bears,2020-04-23 20:00:00+00:00,2 - 1,liquid,1687.31150767335,1578.7054794368867
151,evil geniuses,orgless,2020-04-22 20:00:00+00:00,2 - 0,evil geniuses,1555.1079110831377,1469.8292998955226
152,gen.g,100 thieves,2020-04-22 20:00:00+00:00,2 - 0,gen.g,1504.8800040763383,1545.5728673234591
153,triumph,cloud9,2020-04-22 20:00:00+00:00,2 - 1,triumph,1517.8701266753308,1576.7513763052157
154,c0ntact,godsent,2020-05-01 17:10:00+00:00,1 - 2,godsent,1361.5893317885343,1588.042971130646
155,mousesports,faze,2020-05-01 16:30:00+00:00,0 - 2,faze,1671.3270872177104,1693.3253321142631
156,dignitas,ence,2020-05-01 16:30:00+00:00,1 - 2,ence,1507.7310795339063,1459.7364795058559
157,copenhagen flames,north,2020-04-30 16:30:00+00:00,2 - 0,copenhagen flames,1524.9329961270541,1579.4902760572072
158,movistar riders,g2,2020-04-30 16:30:00+00:00,0 - 2,g2,1496.5224856213588,1729.662631303601
159,nip,astralis,2020-04-30 16:30:00+00:00,1 - 2,astralis,1631.4038857599614,1769.5808587607544
160,fnatic,heretics,2020-04-29 16:45:00+00:00,2 - 1,fnatic,1757.8359381643982,1646.5069311110385
161,ence,complexity,2020-04-29 16:50:00+00:00,1 - 2,complexity,1459.7364795058559,1505.9932509300043
162,dignitas,vitality,2020-04-29 16:30:00+00:00,0 - 2,vitality,1507.7310795339063,1586.9615105649414
163,c0ntact,mousesports,2020-04-29 13:00:00+00:00,1 - 2,mousesports,1361.5893317885343,1671.3270872177104
164,north,godsent,2020-04-29 13:00:00+00:00,1 - 2,godsent,1579.4902760572072,1588.042971130646
165,copenhagen flames,g2,2020-04-29 13:00:00+00:00,1 - 2,g2,1524.9329961270541,1729.662631303601
166,movistar riders,faze,2020-04-28 16:50:00+00:00,1 - 2,faze,1458.130015281785,1642.8038389161948
167,astralis,vitality,2020-04-28 16:30:00+00:00,2 - 0,astralis,1771.4798603618576,1600.9830252726501
168,heretics,complexity,2020-04-28 16:30:00+00:00,2 - 1,heretics,1591.8272457285632,1547.8006125163147
169,copenhagen flames,godsent,2020-04-28 13:00:00+00:00,1 - 2,godsent,1529.3393120746239,1584.8584927887177
170,dignitas,fnatic,2020-04-28 13:00:00+00:00,2 - 1,dignitas,1505.0406122742395,1807.0602431026368
171,nip,ence,2020-04-28 13:00:00+00:00,2 - 1,nip,1582.2793994188864,1447.3118927832882
172,movistar riders,c0ntact,2020-04-26 16:30:00+00:00,2 - 1,movistar riders,1458.130015281785,1390.756058736914
173,g2,faze,2020-04-26 16:30:00+00:00,0 - 2,faze,1740.9706764604707,1642.8038389161948
174,north,mousesports,2020-04-26 13:00:00+00:00,2 - 0,north,1565.886836017243,1732.1478810844258
175,complexity,vitality,2020-04-25 16:30:00+00:00,1 - 2,vitality,1547.8006125163147,1600.9830252726501
176,heretics,ence,2020-04-26 13:00:00+00:00,2 - 0,heretics,1591.8272457285632,1447.3118927832882
177,astralis,fnatic,2020-04-25 13:00:00+00:00,1 - 2,fnatic,1771.4798603618576,1807.0602431026368
178,dignitas,nip,2020-04-24 16:30:00+00:00,0 - 2,nip,1505.0406122742395,1582.2793994188864
179,mousesports,movistar riders,2020-04-24 13:00:00+00:00,0 - 2,movistar riders,1732.1478810844258,1458.130015281785
180,copenhagen flames,c0ntact,2020-04-24 13:00:00+00:00,2 - 1,copenhagen flames,1529.3393120746239,1390.756058736914
181,godsent,g2,2020-04-23 17:00:00+00:00,0 - 2,g2,1584.8584927887177,1740.9706764604707
182,faze,north,2020-04-23 13:00:00+00:00,2 - 1,faze,1642.8038389161948,1565.886836017243
183,dignitas,heretics,2020-04-23 13:00:00+00:00,1 - 2,heretics,1505.0406122742395,1591.8272457285632
184,vitality,nip,2020-04-22 16:30:00+00:00,1 - 2,nip,1600.9830252726501,1582.2793994188864
185,ence,fnatic,2020-04-22 13:00:00+00:00,2 - 0,ence,1447.3118927832882,1807.0602431026368
186,complexity,astralis,2020-04-22 13:00:00+00:00,1 - 2,astralis,1547.8006125163147,1771.4798603618576
187,crazycoco,kova,2020-04-26 15:00:00+00:00,0 - 2,kova,1239.581050234718,1465.018265966998
188,hreds,sj,2020-04-26 14:45:00+00:00,0 - 2,sj,1314.647723187828,1390.2183306315526
189,crazycoco,veto,2020-04-22 14:45:00+00:00,0 - 2,veto,1239.581050234718,1429.7455326062295
190,veto,sj,2020-04-19 14:45:00+00:00,2 - 0,veto,1415.9531438728088,1357.6058396760268
191,thunder logic,warriors,2020-04-25 00:00:00+00:00,2 - 1,thunder logic,1273.6638936557963,1400.0
192,aa,trivium,2020-04-24 03:00:00+00:00,2 - 0,aa,1386.56375107144,1461.4111636561101
193,big chillin,thunder logic,2020-04-24 00:00:00+00:00,0 - 2,thunder logic,1383.1780590116591,1273.6638936557963
194,thunder logic,trivium,2020-04-23 03:00:00+00:00,0 - 2,trivium,1273.6638936557963,1461.4111636561101
195,aa,big chillin,2020-04-23 00:00:00+00:00,2 - 0,aa,1386.56375107144,1383.1780590116591
196,yeah,ethereal,2020-04-22 04:00:00+00:00,0 - 2,ethereal,1486.560027646718,1432.9552686452037
197,ethereal,rbg,2020-04-21 06:00:00+00:00,2 - 0,ethereal,1432.9552686452037,1368.3155134310898
198,keep the comms up,yeah,2020-04-21 03:00:00+00:00,2 - 0,keep the comms up,1400.0,1486.560027646718
199,keep the comms up,ethereal,2020-04-19 22:00:00+00:00,2 - 1,keep the comms up,1400.0,1432.9552686452037
200,yeah,rbg,2020-04-20 03:00:00+00:00,2 - 0,yeah,1486.560027646718,1368.3155134310898
201,recon 5,"blood, sweat, and tears",2020-04-17 22:00:00+00:00,2 - 0,recon 5,1478.5767567616692,1453.532275879654
202,new england whalers,orion,2020-04-17 22:00:00+00:00,2 - 0,new england whalers,1328.1706247501847,1400.0
203,pdhm,monstars,2020-04-17 22:00:00+00:00,1 - 2,monstars,1382.9466141892315,1315.7899765594225
204,triumph,ethereal,2020-04-17 22:00:00+00:00,2 - 0,triumph,1535.8232478433497,1432.9552686452037
205,spirit,agf,2020-04-17 16:00:00+00:00,2 - 0,spirit,1623.0894544291734,1410.8851898582498
206,espada,fate,2020-04-17 16:00:00+00:00,0 - 2,fate,1488.4436702796484,1443.7413067872112
207,saw,avez,2020-04-17 16:00:00+00:00,0 - 2,avez,1431.0985404826629,1491.483562279157
208,dignitas,ldlc,2020-04-17 16:00:00+00:00,0 - 2,ldlc,1506.5909394050768,1509.6217530254291
209,avez,movistar riders,2020-04-16 22:25:00+00:00,1 - 0,avez,1491.483562279157,1456.3549345837182
210,100pinggods,spirit,2020-04-16 22:15:00+00:00,0 - 1,spirit,1374.1840956336653,1623.0894544291734
211,heretics,agf,2020-04-16 22:15:00+00:00,0 - 1,agf,1567.1537075527274,1410.8851898582498
212,ldlc,trvpremeslo,2020-04-16 22:10:00+00:00,1 - 0,ldlc,1509.6217530254291,1400.0
213,fate,wisla krakow,2020-04-16 21:45:00+00:00,1 - 0,fate,1443.7413067872112,1373.389956778039
214,dignitas,syman,2020-04-16 21:30:00+00:00,1 - 0,dignitas,1506.5909394050768,1482.731452074028
215,illuminar,espada,2020-04-16 21:30:00+00:00,0 - 1,espada,1349.777088049514,1488.4436702796484
216,saw,trepunktnoll,2020-04-16 21:00:00+00:00,1 - 0,saw,1431.0985404826629,1400.0
217,lynn vision,onethree,2020-04-16 08:30:00+00:00,1 - 2,onethree,1522.3369538515046,1527.0811038525153
218,zigma,tiger,2020-04-17 10:00:00+00:00,2 - 0,zigma,1483.9799115510132,1409.8975428089118
219,jigadood,w2c,2020-04-17 10:00:00+00:00,2 - 0,jigadood,1400.0,1400.0
220,heartless,ground zero,2020-04-17 10:00:00+00:00,1 - 2,ground zero,1400.0,1476.4064941838215
221,rooster,i sleep,2020-04-17 10:00:00+00:00,2 - 0,rooster,1520.0888447531129,1358.656263888897
222,btrg,onethree,2020-04-16 05:00:00+00:00,0 - 2,onethree,1354.8511092171266,1527.0811038525153
223,ambush,fate,2020-04-15 16:00:00+00:00,1 - 2,fate,1376.222282459628,1443.7413067872112
224,endpoint,apeks,2020-04-15 16:00:00+00:00,2 - 1,endpoint,1475.1804686295475,1417.9273058350639
225,chiefs,rooster,2020-04-20 09:00:00+00:00,2 - 1,chiefs,1532.0176653193544,1520.0888447531129
226,ground zero,rooster,2020-04-19 11:00:00+00:00,1 - 2,rooster,1476.4064941838215,1520.0888447531129
227,avant,chiefs,2020-04-19 08:00:00+00:00,2 - 0,avant,1650.946418393121,1532.0176653193544
228,chiefs,rooster,2020-04-18 11:00:00+00:00,2 - 1,chiefs,1532.0176653193544,1520.0888447531129
229,avant,ground zero,2020-04-18 08:00:00+00:00,2 - 0,avant,1650.946418393121,1476.4064941838215
230,zigma,beyond,2020-04-20 11:00:00+00:00,0 - 2,beyond,1483.9799115510132,1383.683159375936
231,jigadood,beyond,2020-04-19 13:00:00+00:00,0 - 2,beyond,1400.0,1383.683159375936
232,lucid dream,zigma,2020-04-19 10:00:00+00:00,2 - 1,lucid dream,1531.211788215066,1483.9799115510132
233,beyond,zigma,2020-04-18 13:00:00+00:00,0 - 2,zigma,1383.683159375936,1483.9799115510132
234,lucid dream,jigadood,2020-04-18 10:00:00+00:00,2 - 0,lucid dream,1531.211788215066,1400.0
235,envy,bad news bears,2020-04-20 23:00:00+00:00,0 - 2,bad news bears,1389.4553189778119,1538.3732659607176
236,bad news bears,swole patrol,2020-04-20 01:00:00+00:00,2 - 0,bad news bears,1538.3732659607176,1475.254336359663
237,recon 5,bad news bears,2020-04-19 22:00:00+00:00,0 - 2,bad news bears,1478.5767567616692,1538.3732659607176
238,triumph,swole patrol,2020-04-19 22:00:00+00:00,0 - 2,swole patrol,1535.8232478433497,1475.254336359663
239,monstars,recon 5,2020-04-19 01:25:00+00:00,0 - 2,recon 5,1315.7899765594225,1478.5767567616692
240,new england whalers,triumph,2020-04-19 02:00:00+00:00,1 - 2,triumph,1328.1706247501847,1535.8232478433497
241,cloud9,envy,2020-04-19 22:00:00+00:00,2 - 1,cloud9,1534.6301554804622,1389.4553189778119
242,swole patrol,envy,2020-04-19 01:25:00+00:00,1 - 2,envy,1475.254336359663,1389.4553189778119
243,cloud9,bad news bears,2020-04-19 02:00:00+00:00,2 - 0,cloud9,1534.6301554804622,1538.3732659607176
244,swole patrol,monstars,2020-04-18 22:00:00+00:00,2 - 0,swole patrol,1475.254336359663,1315.7899765594225
245,envy,recon 5,2020-04-18 22:00:00+00:00,2 - 1,envy,1389.4553189778119,1478.5767567616692
246,bad news bears,triumph,2020-04-18 22:00:00+00:00,2 - 1,bad news bears,1538.3732659607176,1535.8232478433497
247,cloud9,new england whalers,2020-04-18 22:00:00+00:00,2 - 0,cloud9,1534.6301554804622,1328.1706247501847
248,spirit,forze,2020-04-20 17:00:00+00:00,2 - 0,spirit,1623.0894544291734,1619.2854501721733
249,forze,og,2020-04-19 19:00:00+00:00,2 - 1,forze,1619.2854501721733,1519.658098757972
250,avez,og,2020-04-19 16:00:00+00:00,1 - 2,og,1491.483562279157,1519.658098757972
251,virtus.pro,forze,2020-04-19 16:00:00+00:00,1 - 2,forze,1488.7952206415066,1619.2854501721733
252,ldlc,avez,2020-04-18 19:00:00+00:00,0 - 2,avez,1509.6217530254291,1491.483562279157
